Crop_Category,Crop_Variety,Seed_Type,Temperature_Avg_C,Temperature_Min_C,Temperature_Max_C,Rainfall_mm,Humidity_Percent,Sunshine_Hours,Growing_Season_Days,Soil_pH,Nitrogen_kg_per_ha,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Organic_Matter_Percent,Soil_Type,Soil_Moisture_Percent,Irrigation_Type,Season,Previous_Crop,Farm_Size_ha,Fertilizer_Nitrogen_kg_per_ha,Fertilizer_Phosphorus_kg_per_ha,Fertilizer_Potassium_kg_per_ha,Pesticide_Usage,Yield_tons_per_ha
Maize,Maize (Sweet Corn),HYV,25.7,18.32,35.94,550.74,69.0,6.64,98,6.54,118.02,52.59,55.91,3.14,Red,65.45,Drip,Kharif,Rice,10.21,115.46,50.37,52.69,0,6.706
Wheat,Wheat (Sharbati),Traditional,17.06,11.7,26.62,422.93,54.12,9.5,117,6.47,96.95,48.73,30.42,2.65,Loamy,61.26,Sprinkler,Rabi,Pulses,7.57,63.5,30.39,26.8,0,3.139
Soybean,Soybean (Food Grade),HYV,27.73,20.23,37.25,779.0,66.39,8.23,106,6.84,29.1,59.9,30.78,2.56,Black,63.34,Sprinkler,Zaid,Fallow,9.92,21.39,43.28,36.99,1,2.028
Rice,Rice (Basmati),Traditional,27.83,21.42,37.31,1366.12,71.32,8.0,134,7.45,70.18,36.28,33.56,2.97,Loamy,60.58,Flood,Kharif,Pulses,7.11,60.05,26.26,25.75,1,2.827
Rice,Rice (Basmati),Traditional,25.76,19.77,33.03,1091.23,84.48,7.28,139,7.09,67.34,31.47,32.07,2.94,Clayey,75.9,Sprinkler,Kharif,Pulses,16.59,60.24,25.15,29.26,1,2.832
Rice,Rice (Non-Basmati),Hybrid,27.15,21.35,35.56,1435.26,74.36,8.03,139,5.79,100.35,58.44,57.19,4.91,Clayey,81.26,Rainfed,Kharif,Soybean,8.03,107.7,59.7,52.21,1,4.872
Soybean,Soybean (Food Grade),HYV,29.5,23.98,38.59,856.68,76.55,8.9,102,7.17,27.61,59.91,34.99,3.6,Alluvial,74.85,Rainfed,Kharif,Millet,1.89,20.62,56.49,36.31,1,2.528
Millet,Millet (Pearl/Bajra),Traditional,30.75,25.41,39.09,288.48,49.61,9.42,87,7.5,56.19,28.0,29.3,1.17,Loamy,53.27,Rainfed,Kharif,Rice,2.17,44.79,23.05,17.95,1,1.588
Maize,Maize (Sweet Corn),HYV,22.13,16.67,32.04,701.72,64.42,6.83,96,6.57,118.05,60.85,58.91,3.83,Alluvial,59.68,Sprinkler,Rabi,Cotton,9.38,100.88,62.96,58.46,1,5.557
Millet,Millet (Sorghum/Jowar),HYV,29.86,24.13,37.64,505.93,63.46,8.78,107,7.17,76.42,39.85,30.09,2.1,Sandy,53.63,Rainfed,Kharif,Pulses,4.26,68.85,31.33,25.91,1,1.94
Millet,Millet (Finger/Ragi),Hybrid,25.87,20.31,37.22,580.42,52.01,9.2,113,5.45,42.78,26.02,23.07,3.05,Loamy,45.39,Sprinkler,Kharif,Rice,3.14,42.29,24.13,23.52,1,3.984
Wheat,Wheat (Common),Traditional,21.16,14.9,28.88,456.82,59.84,9.53,124,6.13,90.92,48.72,35.77,1.66,Loamy,64.69,Flood,Rabi,Soybean,16.32,77.99,33.35,31.58,1,5.363
Soybean,Soybean (Oil Grade),Hybrid,28.16,20.75,35.55,879.21,79.84,6.64,105,6.32,22.34,64.53,42.32,3.0,Alluvial,76.01,Drip,Kharif,Pulses,17.46,31.85,66.62,49.22,1,3.924
Maize,Maize (Feed Corn),Traditional,27.05,20.85,34.87,764.26,68.87,8.52,105,6.12,125.71,74.49,51.92,3.54,Sandy,68.4,Sprinkler,Kharif,Sugarcane,1.04,78.49,41.59,30.52,0,6.098
Millet,Millet (Pearl/Bajra),HYV,31.41,23.54,41.61,337.95,59.65,10.44,80,6.42,50.63,27.17,26.69,1.94,Sandy,40.73,Rainfed,Kharif,Cotton,8.64,55.63,28.28,20.8,1,2.246
Soybean,Soybean (Oil Grade),Hybrid,27.8,19.99,35.15,717.38,72.38,6.71,119,6.05,23.74,52.33,43.11,3.97,Red,68.12,Drip,Kharif,Cotton,3.24,29.7,62.2,46.25,1,4.336
Millet,Millet (Sorghum/Jowar),HYV,31.48,24.47,43.08,639.14,56.73,7.17,121,6.39,78.28,36.1,34.15,2.21,Loamy,47.72,Rainfed,Kharif,Rice,12.57,69.22,33.63,26.09,1,1.887
Millet,Millet (Finger/Ragi),HYV,25.81,20.6,37.07,497.26,61.19,9.27,130,6.1,39.18,23.59,23.79,2.41,Laterite,40.14,Sprinkler,Kharif,Fallow,3.65,31.67,25.94,20.5,1,3.658
Wheat,Wheat (Durum),Hybrid,19.23,11.46,28.01,574.39,53.49,9.28,137,7.01,86.2,53.75,34.38,3.64,Alluvial,54.81,Flood,Rabi,Sugarcane,13.2,122.07,70.7,54.93,1,5.303
Wheat,Wheat (Sharbati),HYV,17.54,11.45,27.52,476.5,53.12,8.88,123,6.39,96.71,47.28,36.22,3.8,Alluvial,46.6,Sprinkler,Rabi,Maize,4.43,80.6,42.43,31.53,1,6.259
Rice,Rice (Basmati),Traditional,26.69,19.29,36.55,1256.33,74.4,8.8,138,7.23,65.69,38.18,35.32,4.64,Clayey,74.37,Flood,Kharif,Rice,8.1,58.74,26.07,29.4,1,5.357
Millet,Millet (Pearl/Bajra),Hybrid,33.7,28.2,41.96,389.63,57.18,10.87,75,7.88,53.96,24.84,22.44,1.57,Sandy,46.61,Rainfed,Kharif,Pulses,3.46,45.42,30.81,30.22,1,2.966
Maize,Maize (Sweet Corn),Traditional,25.76,20.12,36.46,738.94,70.69,8.99,100,6.62,111.79,64.73,41.23,4.79,Black,74.83,Sprinkler,Kharif,Pulses,14.67,82.23,54.67,44.34,0,6.662
Soybean,Soybean (Food Grade),Traditional,25.54,20.16,32.56,651.64,66.91,6.39,101,7.1,27.1,46.15,38.89,3.27,Black,50.84,Sprinkler,Rabi,Soybean,16.1,20.42,36.81,28.55,1,1.853
Maize,Maize (Sweet Corn),Hybrid,25.08,18.34,33.46,528.91,60.28,7.29,99,6.56,114.32,60.07,52.38,3.68,Red,50.11,Drip,Rabi,Soybean,6.85,97.93,59.23,50.83,1,6.706
Maize,Maize (Feed Corn),HYV,25.64,18.48,32.76,811.59,79.84,8.89,111,6.56,146.12,60.44,52.73,2.51,Alluvial,56.57,Sprinkler,Kharif,Wheat,4.25,131.6,61.83,63.62,0,11.02
Rice,Rice (Sona Masuri),Traditional,30.27,25.01,37.81,1256.25,84.31,7.4,131,6.12,74.05,41.55,41.65,3.15,Alluvial,66.75,Flood,Kharif,Rice,2.78,51.84,29.19,27.12,0,5.089
Rice,Rice (Basmati),HYV,25.25,17.66,33.96,1449.76,84.11,8.01,144,6.1,70.99,35.91,36.53,2.77,Laterite,69.11,Flood,Kharif,Rice,14.42,77.35,34.32,39.67,1,2.664
Maize,Maize (Popcorn),Traditional,26.96,20.2,38.95,504.14,69.57,7.06,95,6.21,89.47,41.71,48.52,3.21,Alluvial,57.3,Rainfed,Rabi,Maize,0.98,79.52,42.08,34.2,1,3.491
Millet,Millet (Sorghum/Jowar),HYV,29.02,23.64,37.55,668.07,59.99,7.25,123,7.49,70.56,37.0,27.27,3.21,Loamy,46.83,Rainfed,Kharif,Soybean,12.92,73.65,39.41,29.01,1,3.483
Millet,Millet (Pearl/Bajra),HYV,32.52,25.86,44.08,595.46,41.36,10.61,70,7.12,43.87,28.12,28.95,2.61,Sandy,35.29,Rainfed,Kharif,Wheat,17.08,57.92,28.02,31.85,1,1.716
Soybean,Soybean (Food Grade),HYV,24.61,16.64,34.3,798.28,67.67,6.54,104,7.21,27.99,55.1,38.1,2.05,Loamy,67.83,Rainfed,Zaid,Sugarcane,5.08,20.64,41.9,33.05,1,2.076
Millet,Millet (Pearl/Bajra),HYV,34.81,27.12,45.8,499.73,48.87,9.18,85,6.15,43.35,22.2,25.59,1.78,Red,32.35,Rainfed,Kharif,Fallow,11.03,45.86,24.13,23.67,1,0.817
Wheat,Wheat (Common),Traditional,17.89,10.86,25.67,421.37,53.07,7.19,129,6.86,94.43,44.82,33.04,3.03,Loamy,56.74,Flood,Rabi,Soybean,14.01,59.37,33.89,21.1,1,4.194
Rice,Rice (Basmati),HYV,29.9,22.99,37.53,1338.09,74.88,8.06,144,6.26,77.11,32.27,38.37,2.84,Alluvial,76.07,Flood,Kharif,Maize,15.38,66.36,27.48,32.36,1,5.37
Rice,Rice (Sona Masuri),HYV,27.9,19.98,35.48,1194.65,76.13,6.29,136,5.87,88.68,37.27,42.47,2.16,Alluvial,75.75,Rainfed,Zaid,Soybean,19.19,73.87,36.19,44.46,0,3.447
Rice,Rice (Sona Masuri),HYV,26.22,20.05,37.63,1064.43,76.22,7.22,122,6.23,83.94,43.53,36.96,2.82,Desert,70.92,Flood,Kharif,Cotton,12.97,83.77,44.71,36.71,0,4.27
Rice,Rice (Non-Basmati),Hybrid,27.77,21.34,39.72,1388.17,77.02,7.88,140,5.53,113.58,55.6,41.27,3.09,Alluvial,88.88,Sprinkler,Kharif,Pulses,9.77,131.19,58.2,52.04,1,6.023
Maize,Maize (Popcorn),Traditional,22.11,16.34,30.48,606.7,55.46,8.74,105,6.42,89.01,57.83,46.44,2.89,Loamy,69.86,Sprinkler,Rabi,Maize,1.78,68.41,40.64,33.86,1,4.007
Maize,Maize (Feed Corn),Traditional,24.37,18.23,31.64,709.25,61.49,8.55,117,6.23,121.84,60.23,60.17,4.7,Laterite,69.65,Flood,Kharif,Fallow,4.57,113.51,53.68,44.09,1,5.762
Millet,Millet (Foxtail),HYV,31.3,25.32,39.87,324.36,45.85,7.71,84,6.7,30.11,21.09,15.25,1.84,Loamy,58.36,Sprinkler,Rabi,Pulses,6.69,36.99,17.07,17.96,1,2.516
Maize,Maize (Popcorn),Hybrid,24.26,18.77,33.63,684.07,69.02,6.85,86,6.32,80.83,50.59,47.91,2.11,Alluvial,58.07,Drip,Kharif,Pulses,19.3,96.4,44.33,45.2,1,7.8
Millet,Millet (Pearl/Bajra),Hybrid,28.67,21.64,35.91,591.6,46.42,8.35,78,7.11,53.95,24.46,27.97,1.14,Sandy,45.5,Rainfed,Kharif,Rice,12.69,52.53,25.42,27.4,1,1.785
Rice,Rice (Sona Masuri),Traditional,26.07,19.8,36.03,1111.16,73.89,8.04,140,5.52,86.08,42.03,37.31,2.98,Red,77.38,Sprinkler,Kharif,Wheat,3.44,40.87,19.74,24.04,1,4.257
Millet,Millet (Sorghum/Jowar),Hybrid,27.06,20.58,36.77,688.0,51.26,7.33,90,7.14,79.03,36.1,33.4,2.66,Black,51.91,Rainfed,Kharif,Wheat,10.92,75.82,42.8,35.42,1,3.074
Millet,Millet (Finger/Ragi),Traditional,27.45,20.68,37.14,520.64,56.72,7.03,130,7.45,30.81,29.8,17.69,3.28,Red,62.0,Sprinkler,Zaid,Rice,9.32,33.35,18.97,15.96,1,2.148
Wheat,Wheat (Sharbati),Hybrid,18.97,12.22,26.59,463.9,56.53,7.13,117,7.24,99.42,43.22,31.07,3.87,Alluvial,62.86,Sprinkler,Rabi,Millet,18.71,92.22,46.37,42.1,1,4.93
Soybean,Soybean (Oil Grade),Traditional,29.71,23.02,40.02,718.15,66.34,8.73,103,7.09,23.17,51.68,41.34,4.45,Alluvial,68.86,Sprinkler,Kharif,Fallow,9.58,21.14,47.22,29.96,1,2.337
Millet,Millet (Foxtail),Traditional,31.22,26.06,38.46,348.8,46.47,8.57,71,5.99,30.5,17.52,16.45,2.73,Red,51.43,Rainfed,Kharif,Rice,16.17,34.46,16.35,16.13,1,1.597
Wheat,Wheat (Common),HYV,17.6,11.61,24.69,447.02,59.67,7.53,124,6.62,85.61,46.16,37.4,2.14,Black,48.98,Sprinkler,Rabi,Millet,14.07,84.82,46.53,38.08,1,6.34
Maize,Maize (Feed Corn),Traditional,24.88,19.06,32.25,725.65,70.65,7.99,95,5.84,137.88,64.45,57.54,4.55,Alluvial,59.39,Flood,Kharif,Millet,19.25,82.32,44.54,47.01,1,7.795
Maize,Maize (Popcorn),Traditional,24.61,18.74,34.33,530.25,69.34,7.1,99,6.12,95.48,48.05,42.66,4.5,Loamy,61.54,Drip,Kharif,Cotton,2.48,77.03,46.58,38.78,0,7.204
Maize,Maize (Feed Corn),HYV,27.27,21.87,37.96,695.48,77.08,8.46,99,6.16,125.1,78.5,63.94,3.81,Alluvial,75.16,Sprinkler,Kharif,Cotton,11.03,138.6,77.22,52.47,0,7.37
Wheat,Wheat (Durum),Traditional,21.82,16.28,33.46,480.06,66.1,8.27,128,6.6,84.43,42.72,32.39,3.67,Sandy,47.65,Sprinkler,Rabi,Wheat,3.31,69.64,43.71,26.77,1,2.973
Rice,Rice (Non-Basmati),Hybrid,29.32,23.28,37.33,1503.78,71.08,6.21,130,6.72,101.97,45.46,44.89,2.41,Clayey,86.23,Flood,Rabi,Soybean,2.81,106.97,59.11,50.36,1,6.416
Maize,Maize (Popcorn),HYV,25.87,19.98,34.82,594.89,68.68,6.01,85,6.98,86.32,53.58,49.86,2.02,Loamy,60.94,Sprinkler,Rabi,Millet,18.51,96.73,40.07,44.59,1,4.604
Millet,Millet (Foxtail),HYV,29.39,23.16,39.67,361.76,62.6,8.85,74,7.11,36.26,22.04,19.0,2.37,Loamy,42.85,Drip,Kharif,Fallow,11.57,31.4,15.87,14.85,1,1.562
Maize,Maize (Feed Corn),Traditional,26.94,19.69,36.66,800.09,79.7,7.18,106,5.71,121.56,76.42,68.91,4.32,Red,73.98,Sprinkler,Kharif,Pulses,8.99,108.28,61.25,53.42,1,10.409
Wheat,Wheat (Sharbati),Traditional,21.63,15.12,29.13,468.21,50.69,8.59,130,6.7,91.67,40.45,39.65,2.73,Alluvial,56.54,Drip,Rabi,Cotton,8.81,71.64,36.74,24.53,0,3.863
Millet,Millet (Finger/Ragi),HYV,26.24,20.67,34.31,442.74,62.37,7.21,117,6.2,39.1,29.94,15.32,3.25,Black,63.36,Sprinkler,Kharif,Pulses,13.95,34.57,22.62,18.92,1,3.399
Wheat,Wheat (Durum),Traditional,20.99,15.97,29.54,454.31,57.63,9.8,138,6.82,93.12,54.92,32.24,2.34,Loamy,55.31,Sprinkler,Zaid,Cotton,13.81,94.23,45.05,40.95,1,4.933
Rice,Rice (Basmati),HYV,26.63,20.21,38.02,1020.14,82.07,7.11,142,7.42,64.81,32.4,30.83,4.79,Clayey,74.49,Sprinkler,Kharif,Fallow,4.14,46.91,23.64,24.73,0,3.472
Rice,Rice (Non-Basmati),Traditional,29.6,23.13,37.58,1475.0,75.51,7.15,129,6.37,102.35,41.16,53.93,2.16,Sandy,85.43,Sprinkler,Kharif,Cotton,15.13,65.19,34.1,40.74,1,6.34
Wheat,Wheat (Sharbati),HYV,19.11,11.43,30.26,595.14,61.25,7.81,119,6.78,95.55,47.08,35.71,3.32,Alluvial,44.22,Sprinkler,Rabi,Wheat,4.11,98.11,47.51,39.05,0,3.339
Rice,Rice (Non-Basmati),Traditional,30.21,23.86,39.82,1358.16,83.83,6.14,110,7.2,85.57,51.6,57.76,3.42,Clayey,83.66,Flood,Kharif,Cotton,1.43,57.3,24.47,22.84,1,6.402
Millet,Millet (Finger/Ragi),HYV,30.36,24.07,40.53,696.07,66.81,7.65,101,6.1,36.86,20.52,24.5,2.52,Black,47.65,Sprinkler,Kharif,Millet,2.14,26.7,20.44,14.7,1,2.178
Millet,Millet (Finger/Ragi),Traditional,26.33,20.04,34.45,456.78,52.02,7.8,111,6.88,38.34,21.38,23.37,2.12,Red,60.85,Drip,Kharif,Wheat,17.89,28.84,22.88,12.4,1,2.182
Millet,Millet (Finger/Ragi),Traditional,27.56,20.58,36.0,672.68,65.45,8.12,125,6.52,38.55,28.72,20.48,3.22,Black,46.39,Drip,Kharif,Fallow,16.88,22.79,17.43,14.73,1,1.477
Rice,Rice (Basmati),HYV,27.07,21.17,37.81,1104.14,73.08,6.57,144,6.3,68.5,33.86,39.15,4.29,Red,72.63,Sprinkler,Kharif,Cotton,2.51,75.69,34.93,31.81,1,3.903
Rice,Rice (Non-Basmati),Hybrid,27.74,21.17,35.13,1158.84,73.52,8.32,121,6.05,88.41,41.76,43.11,4.31,Alluvial,82.97,Sprinkler,Kharif,Fallow,7.88,96.9,55.94,58.01,0,6.831
Soybean,Soybean (Food Grade),Hybrid,28.67,21.45,39.73,635.25,66.57,8.33,102,6.6,25.94,58.63,32.45,2.18,Black,62.94,Sprinkler,Kharif,Pulses,1.65,32.09,62.09,39.2,1,3.145
Rice,Rice (Non-Basmati),Hybrid,26.76,20.25,36.57,1268.88,71.43,8.83,131,7.17,107.5,47.12,44.82,2.67,Sandy,88.8,Sprinkler,Kharif,Soybean,9.32,94.6,61.25,51.31,1,8.415
Millet,Millet (Pearl/Bajra),Hybrid,28.2,21.91,37.93,293.51,53.75,8.29,76,7.65,50.25,24.51,26.59,1.71,Loamy,30.11,Sprinkler,Rabi,Wheat,1.63,61.34,22.18,29.7,0,1.418
Maize,Maize (Popcorn),Traditional,23.2,18.16,32.61,521.65,56.15,6.48,99,6.6,81.86,52.9,46.1,3.52,Alluvial,66.46,Sprinkler,Rabi,Fallow,2.03,66.6,32.07,31.31,1,4.249
Maize,Maize (Sweet Corn),Hybrid,27.57,22.17,39.43,581.13,65.12,8.03,96,6.41,104.45,63.87,47.68,2.38,Loamy,71.28,Sprinkler,Kharif,Sugarcane,1.91,113.8,76.36,59.37,1,8.022
Maize,Maize (Feed Corn),Traditional,25.07,18.36,33.32,568.89,71.23,6.66,100,6.37,127.44,60.39,54.67,2.7,Sandy,62.56,Flood,Kharif,Wheat,5.92,109.66,54.71,47.77,1,4.752
Wheat,Wheat (Sharbati),Traditional,21.36,14.16,29.11,484.09,54.82,9.41,118,6.78,91.57,41.04,35.92,3.67,Loamy,53.09,Drip,Rabi,Pulses,13.41,78.35,36.56,28.06,0,4.915
Soybean,Soybean (Food Grade),Traditional,28.09,21.06,37.71,837.58,65.59,8.9,97,6.71,20.86,52.74,34.25,3.3,Alluvial,69.52,Sprinkler,Kharif,Millet,5.84,21.76,37.51,31.47,1,2.227
Rice,Rice (Basmati),Traditional,25.78,19.6,35.23,1055.2,76.29,6.95,141,6.21,75.28,30.18,39.34,2.26,Desert,79.98,Sprinkler,Kharif,Wheat,19.89,53.06,27.4,26.47,1,3.958
Rice,Rice (Non-Basmati),HYV,29.74,23.42,38.7,1382.36,74.84,6.24,130,7.23,82.39,54.52,46.73,4.05,Loamy,80.43,Flood,Zaid,Fallow,12.63,81.29,48.92,50.88,0,6.688
Millet,Millet (Finger/Ragi),HYV,31.28,23.83,42.31,654.7,67.92,8.27,114,6.52,30.38,25.89,24.1,2.76,Red,54.21,Rainfed,Kharif,Sugarcane,8.36,45.96,25.4,20.6,1,2.083
Wheat,Wheat (Durum),Hybrid,18.68,12.45,28.36,460.64,50.24,7.58,131,6.86,80.76,52.72,34.71,2.19,Black,69.26,Sprinkler,Rabi,Sugarcane,19.73,90.34,54.48,43.4,1,4.22
Wheat,Wheat (Durum),Traditional,22.99,16.6,34.97,596.1,63.15,8.92,134,6.05,97.04,58.83,38.89,3.78,Red,45.38,Flood,Rabi,Fallow,1.36,76.97,40.48,28.2,1,3.81
Rice,Rice (Non-Basmati),Traditional,31.71,25.02,42.21,1500.72,84.42,8.1,112,5.72,97.61,58.64,42.9,2.88,Loamy,72.61,Sprinkler,Kharif,Millet,19.94,74.69,45.3,41.84,1,4.706
Rice,Rice (Basmati),Traditional,25.31,19.87,32.98,1343.58,82.67,8.25,142,7.3,67.08,33.97,31.05,4.21,Alluvial,64.56,Sprinkler,Kharif,Fallow,17.87,60.63,27.99,24.7,1,4.672
Maize,Maize (Sweet Corn),Hybrid,27.67,21.92,38.44,767.19,67.94,7.27,90,6.06,119.59,53.41,41.72,4.36,Black,65.39,Sprinkler,Kharif,Maize,16.9,125.24,69.06,57.61,1,9.679
Wheat,Wheat (Common),Hybrid,18.55,11.83,27.55,449.85,50.45,7.36,111,7.41,93.44,41.11,38.61,2.7,Loamy,48.34,Flood,Kharif,Fallow,4.92,97.5,54.7,41.36,0,4.837
Millet,Millet (Sorghum/Jowar),Traditional,32.81,27.74,39.98,593.28,62.67,9.48,119,6.33,71.73,33.26,32.79,2.82,Alluvial,43.27,Rainfed,Kharif,Wheat,5.49,59.7,24.69,20.82,1,1.488
Maize,Maize (Popcorn),Hybrid,23.66,15.82,34.82,632.6,69.03,6.47,94,6.26,99.82,58.07,42.22,4.33,Alluvial,62.62,Sprinkler,Rabi,Millet,12.44,90.44,53.4,44.68,1,7.11
Rice,Rice (Sona Masuri),HYV,29.52,22.61,39.18,1073.28,71.85,7.46,122,6.08,71.59,39.24,38.01,3.48,Alluvial,71.81,Sprinkler,Kharif,Sugarcane,13.22,86.01,37.3,39.86,1,6.203
Millet,Millet (Foxtail),HYV,31.02,24.83,42.49,536.39,46.17,8.31,84,7.21,30.89,23.43,17.99,1.09,Sandy,56.44,Rainfed,Kharif,Soybean,3.84,35.52,24.38,18.41,1,1.692
Wheat,Wheat (Sharbati),Hybrid,20.56,14.96,32.25,445.42,55.59,9.48,132,7.4,99.65,47.64,39.21,3.58,Loamy,62.77,Sprinkler,Rabi,Cotton,1.32,96.85,47.58,40.21,1,5.767
Maize,Maize (Feed Corn),Traditional,23.54,17.99,33.82,829.39,61.69,6.36,112,7.32,133.91,66.9,62.25,4.12,Sandy,68.51,Flood,Kharif,Millet,0.75,114.44,63.19,42.84,1,6.592
Rice,Rice (Sona Masuri),Traditional,28.38,22.13,36.91,1179.46,77.11,8.5,126,6.11,73.03,44.79,44.01,4.23,Alluvial,79.72,Sprinkler,Kharif,Fallow,15.08,63.16,35.74,31.71,0,5.19
Wheat,Wheat (Sharbati),Traditional,20.98,15.85,29.33,494.44,64.0,7.19,120,6.94,93.05,41.64,39.48,2.35,Alluvial,44.56,Flood,Kharif,Millet,3.55,77.08,33.37,24.39,0,3.551
Maize,Maize (Feed Corn),Traditional,25.16,18.26,34.2,693.24,76.05,9.0,91,5.85,141.28,79.88,55.88,2.12,Red,76.26,Flood,Rabi,Millet,8.22,109.66,59.82,46.84,0,3.887
Soybean,Soybean (Oil Grade),Hybrid,26.3,21.07,34.5,873.14,72.76,8.11,98,6.76,20.89,67.46,36.15,3.01,Black,79.62,Rainfed,Kharif,Rice,12.24,24.2,66.07,38.52,1,2.688
Maize,Maize (Sweet Corn),HYV,24.63,16.91,35.21,686.05,72.96,6.99,82,6.58,119.66,64.38,46.65,4.86,Alluvial,59.13,Drip,Rabi,Sugarcane,7.11,87.01,49.38,48.01,1,8.047
Maize,Maize (Feed Corn),HYV,27.4,20.46,37.33,690.44,71.15,8.08,92,7.39,124.25,78.44,61.0,4.79,Black,79.2,Flood,Kharif,Rice,12.03,136.08,79.2,69.65,0,5.433
Rice,Rice (Basmati),Hybrid,27.44,22.21,36.48,1203.55,70.99,7.05,132,6.95,71.54,36.98,30.06,2.3,Alluvial,81.72,Sprinkler,Kharif,Cotton,1.48,72.5,35.56,36.09,1,6.435
Wheat,Wheat (Sharbati),Hybrid,17.12,9.88,28.78,488.09,50.98,9.22,131,6.48,97.68,45.12,39.54,2.64,Black,40.93,Sprinkler,Rabi,Fallow,2.93,103.36,54.02,40.28,1,4.302
Rice,Rice (Non-Basmati),HYV,28.03,22.44,39.33,1173.32,88.17,6.85,134,6.65,112.52,55.73,57.8,3.66,Black,89.19,Drip,Kharif,Maize,10.88,105.82,54.23,58.36,0,6.767
Rice,Rice (Non-Basmati),Hybrid,27.32,21.42,39.05,1231.58,83.46,6.53,118,6.71,88.53,49.49,57.27,2.52,Clayey,65.48,Sprinkler,Kharif,Millet,14.89,151.69,52.41,75.45,1,7.851
